127.0.0.1, 2015-05-01 22:06:56, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000341
127.0.0.1, 2015-05-01 22:06:56, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000297
127.0.0.1, 2015-05-01 22:06:56, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 304, 0.000530
127.0.0.1, 2015-05-01 22:06:56, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.000480
127.0.0.1, 2015-05-01 22:06:56, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.000401
127.0.0.1, 2015-05-01 22:06:56, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.000402
127.0.0.1, 2015-05-01 22:06:57, GET, /welcome/default/index, HTTP/1.1, 200, 0.021843
127.0.0.1, 2015-05-01 22:06:57, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000474
127.0.0.1, 2015-05-01 22:06:57, GET, /welcome/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.000410
127.0.0.1, 2015-05-01 22:06:57, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000450
127.0.0.1, 2015-05-01 22:06:57, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000419
127.0.0.1, 2015-05-01 22:06:57, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000407
127.0.0.1, 2015-05-01 22:06:57, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.000395
127.0.0.1, 2015-05-01 22:06:57, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000252
127.0.0.1, 2015-05-01 22:06:57, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000207
127.0.0.1, 2015-05-01 22:06:57, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.000205
127.0.0.1, 2015-05-01 22:06:57, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.002179
127.0.0.1, 2015-05-01 22:06:57, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000219
127.0.0.1, 2015-05-01 22:06:57, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 304, 0.000379
127.0.0.1, 2015-05-01 22:06:57, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.000451
127.0.0.1, 2015-05-01 22:06:57, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.000245
127.0.0.1, 2015-05-01 22:06:57, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.000935
127.0.0.1, 2015-05-01 22:06:57, GET, /welcome/default/index, HTTP/1.1, 200, 0.028998
127.0.0.1, 2015-05-01 22:06:57, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.000435
127.0.0.1, 2015-05-01 22:06:57, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000257
127.0.0.1, 2015-05-01 22:06:57, GET, /welcome/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.002712
127.0.0.1, 2015-05-01 22:06:57, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000443
127.0.0.1, 2015-05-01 22:06:57, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000431
127.0.0.1, 2015-05-01 22:06:57, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000407
127.0.0.1, 2015-05-01 22:06:57, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.000418
127.0.0.1, 2015-05-01 22:06:57, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.000322
127.0.0.1, 2015-05-01 22:06:57, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000308
127.0.0.1, 2015-05-01 22:06:57, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000344
127.0.0.1, 2015-05-01 22:06:57, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000515
127.0.0.1, 2015-05-01 22:06:57, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 304, 0.000472
127.0.0.1, 2015-05-01 22:06:57, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.000439
127.0.0.1, 2015-05-01 22:06:57, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.000690
127.0.0.1, 2015-05-01 22:06:57, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.000704
127.0.0.1, 2015-05-01 22:07:06, GET, /welcome/default/user, HTTP/1.1, 303, 0.013614
127.0.0.1, 2015-05-01 22:07:06, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.079737
127.0.0.1, 2015-05-01 22:07:10, GET, /welcome/default/user/register, HTTP/1.1, 200, 0.022606
127.0.0.1, 2015-05-01 22:07:13, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.021701
127.0.0.1, 2015-05-01 22:07:15, GET, /welcome/default/user/register, HTTP/1.1, 200, 0.024368
127.0.0.1, 2015-05-01 22:07:33, GET, /welcome/default/user/register, HTTP/1.1, 200, 0.027634
127.0.0.1, 2015-05-01 22:07:33, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000518
127.0.0.1, 2015-05-01 22:07:33, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000423
127.0.0.1, 2015-05-01 22:07:33, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000404
127.0.0.1, 2015-05-01 22:07:33, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.000397
127.0.0.1, 2015-05-01 22:07:33, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000389
127.0.0.1, 2015-05-01 22:07:33, GET, /welcome/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.004368
127.0.0.1, 2015-05-01 22:07:33, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.000528
127.0.0.1, 2015-05-01 22:07:33, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.000445
127.0.0.1, 2015-05-01 22:07:33, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000457
127.0.0.1, 2015-05-01 22:07:33, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000363
127.0.0.1, 2015-05-01 22:07:33, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.001388
127.0.0.1, 2015-05-01 22:07:33, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.000463
127.0.0.1, 2015-05-01 22:07:33, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.000337
127.0.0.1, 2015-05-01 22:07:33, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.000233
127.0.0.1, 2015-05-01 22:07:46, GET, /welcome/default/index, HTTP/1.1, 200, 0.027419
127.0.0.1, 2015-05-01 22:07:46, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 304, 0.000429
127.0.0.1, 2015-05-01 22:07:49, GET, /admin/default/site, HTTP/1.1, 303, 0.040705
127.0.0.1, 2015-05-01 22:07:49, GET, /admin/default/site, HTTP/1.1, 303, 1.015063
127.0.0.1, 2015-05-01 22:07:49, GET, /admin/default/index, HTTP/1.1, 200, 0.077255
127.0.0.1, 2015-05-01 22:07:49, GET, /admin/static/_2.10.4/js/jquery.js, HTTP/1.1, 200, 0.013186
127.0.0.1, 2015-05-01 22:07:49, GET, /admin/static/_2.10.4/css/calendar.css, HTTP/1.1, 200, 0.003627
127.0.0.1, 2015-05-01 22:07:49, GET, /admin/static/_2.10.4/js/calendar.js, HTTP/1.1, 200, 0.000482
127.0.0.1, 2015-05-01 22:07:49, GET, /admin/static/_2.10.4/js/web2py.js, HTTP/1.1, 200, 0.000470
127.0.0.1, 2015-05-01 22:07:49, GET, /admin/static/_2.10.4/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000567
127.0.0.1, 2015-05-01 22:07:49, GET, /admin/static/_2.10.4/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000434
127.0.0.1, 2015-05-01 22:07:49, GET, /admin/static/_2.10.4/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000433
127.0.0.1, 2015-05-01 22:07:49, GET, /admin/static/_2.10.4/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.000485
127.0.0.1, 2015-05-01 22:07:49, GET, /admin/static/_2.10.4/css/bootstrap.min.css, HTTP/1.1, 200, 0.000468
127.0.0.1, 2015-05-01 22:07:49, GET, /admin/static/_2.10.4/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000515
127.0.0.1, 2015-05-01 22:07:49, GET, /admin/static/_2.10.4/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.000362
127.0.0.1, 2015-05-01 22:07:49, GET, /admin/static/_2.10.4/js/bootstrap.min.js, HTTP/1.1, 200, 0.000799
127.0.0.1, 2015-05-01 22:07:49, GET, /admin/static/_2.10.4/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001265
127.0.0.1, 2015-05-01 22:07:49, GET, /admin/static/_2.10.4/images/questions.png, HTTP/1.1, 200, 0.000451
127.0.0.1, 2015-05-01 22:07:49, GET, /favicon.ico, HTTP/1.1, 400, 0.000332
127.0.0.1, 2015-05-01 22:07:53, POST, /admin/default/index, HTTP/1.1, 303, 0.029846
127.0.0.1, 2015-05-01 22:07:53, GET, /admin/default/site, HTTP/1.1, 200, 0.063163
127.0.0.1, 2015-05-01 22:07:53, GET, /admin/static/_2.10.4/images/folder_locked.png, HTTP/1.1, 200, 0.000459
127.0.0.1, 2015-05-01 22:07:53, GET, /admin/static/_2.10.4/images/folder.png, HTTP/1.1, 200, 0.000415
127.0.0.1, 2015-05-01 22:07:53, GET, /admin/static/_2.10.4/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000394
127.0.0.1, 2015-05-01 22:07:54, POST, /admin/default/check_version, HTTP/1.1, 200, 0.542735
127.0.0.1, 2015-05-01 22:07:55, GET, /favicon.ico, HTTP/1.1, 400, 0.000349
127.0.0.1, 2015-05-01 22:07:57, GET, /examples/default/index, HTTP/1.1, 200, 0.068824
127.0.0.1, 2015-05-01 22:07:57, GET, /examples/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.005541
127.0.0.1, 2015-05-01 22:07:57, GET, /examples/static/js/jquery.js, HTTP/1.1, 200, 0.000420
127.0.0.1, 2015-05-01 22:07:57, GET, /examples/static/css/calendar.css, HTTP/1.1, 200, 0.000838
127.0.0.1, 2015-05-01 22:07:57, GET, /examples/static/js/calendar.js, HTTP/1.1, 200, 0.000411
127.0.0.1, 2015-05-01 22:07:57, GET, /examples/static/css/web2py.css, HTTP/1.1, 200, 0.000591
127.0.0.1, 2015-05-01 22:07:57, GET, /examples/static/js/web2py.js, HTTP/1.1, 200, 0.000518
127.0.0.1, 2015-05-01 22:07:57, GET, /examples/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000567
127.0.0.1, 2015-05-01 22:07:57, GET, /examples/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000578
127.0.0.1, 2015-05-01 22:07:57, GET, /examples/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000362
127.0.0.1, 2015-05-01 22:07:57, GET, /examples/static/css/examples.css, HTTP/1.1, 200, 0.000505
127.0.0.1, 2015-05-01 22:07:57, GET, /examples/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000603
127.0.0.1, 2015-05-01 22:07:57, GET, /examples/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000523
127.0.0.1, 2015-05-01 22:07:57, GET, /examples/static/js/share.js, HTTP/1.1, 200, 0.000388
127.0.0.1, 2015-05-01 22:07:57, GET, /examples/static/images/web2py_logo.png, HTTP/1.1, 200, 0.000779
127.0.0.1, 2015-05-01 22:07:57, GET, /examples/static/images/book-5th.png, HTTP/1.1, 200, 0.000588
127.0.0.1, 2015-05-01 22:07:57, GET, /examples/static/images/videos.png, HTTP/1.1, 200, 0.000631
127.0.0.1, 2015-05-01 22:07:57, GET, /examples/static/images/book-recipes.png, HTTP/1.1, 200, 0.000384
127.0.0.1, 2015-05-01 22:07:57, GET, /examples/static/images/shadow-bottom.png, HTTP/1.1, 200, 0.000478
127.0.0.1, 2015-05-01 22:07:57, GET, /examples/static/images/infoworld2012.jpeg, HTTP/1.1, 200, 0.001244
127.0.0.1, 2015-05-01 22:07:57, GET, /examples/static/images/questions.png, HTTP/1.1, 200, 0.000421
127.0.0.1, 2015-05-01 22:07:57, GET, /examples/static/images/stripes.png, HTTP/1.1, 200, 0.000488
127.0.0.1, 2015-05-01 22:07:58, GET, /examples/static/images/facebook.png, HTTP/1.1, 200, 0.000393
127.0.0.1, 2015-05-01 22:07:58, GET, /examples/static/images/twitter.png, HTTP/1.1, 200, 0.001319
127.0.0.1, 2015-05-01 22:07:58, GET, /examples/static/images/gplus-32.png, HTTP/1.1, 200, 0.000508
127.0.0.1, 2015-05-01 22:08:01, GET, /admin/default/site, HTTP/1.1, 200, 0.041485
127.0.0.1, 2015-05-01 22:08:01, GET, /favicon.ico, HTTP/1.1, 400, 0.000402
127.0.0.1, 2015-05-01 22:08:01, GET, /favicon.ico, HTTP/1.1, 400, 0.000359
127.0.0.1, 2015-05-01 22:08:02, GET, /welcome/default/index, HTTP/1.1, 200, 0.023807
127.0.0.1, 2015-05-01 22:08:06, GET, /admin/default/edit/welcome/controllers/default.py, HTTP/1.1, 200, 0.077687
127.0.0.1, 2015-05-01 22:08:06, GET, /admin/static/_2.10.4/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.000562
127.0.0.1, 2015-05-01 22:08:06, GET, /admin/static/_2.10.4/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.000528
127.0.0.1, 2015-05-01 22:08:06, GET, /admin/static/_2.10.4/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.000637
127.0.0.1, 2015-05-01 22:08:06, GET, /admin/static/_2.10.4/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.016559
127.0.0.1, 2015-05-01 22:08:06, GET, /admin/static/_2.10.4/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.003331
127.0.0.1, 2015-05-01 22:08:06, GET, /admin/static/_2.10.4/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.002009
